"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2_2 - extra_val_metric_0","random_no2_2 - extra_val_metric_0__MIN","random_no2_2 - extra_val_metric_0__MAX","random_no2_2 - mean_absolute_percentage_error","random_no2_2 - mean_absolute_percentage_error__MIN","random_no2_2 - mean_absolute_percentage_error__MAX"
"0","","","","80.65387725830078","80.65387725830078","80.65387725830078","","","","83.8130874633789","83.8130874633789","83.8130874633789","","","","69.57405090332031","69.57405090332031","69.57405090332031"
"3","31.170576095581055","31.170576095581055","31.170576095581055","","","","32.832237243652344","32.832237243652344","32.832237243652344","","","","46.71689987182617","46.71689987182617","46.71689987182617","","",""
"5","","","","59.151611328125","59.151611328125","59.151611328125","","","","61.79658508300781","61.79658508300781","61.79658508300781","","","","52.589603424072266","52.589603424072266","52.589603424072266"
"8","27.927284240722656","27.927284240722656","27.927284240722656","","","","30.82118034362793","30.82118034362793","30.82118034362793","","","","42.21836853027344","42.21836853027344","42.21836853027344","","",""
"10","","","","53.445186614990234","53.445186614990234","53.445186614990234","","","","54.085540771484375","54.085540771484375","54.085540771484375","","","","43.66237258911133","43.66237258911133","43.66237258911133"
"13","25.455509185791016","25.455509185791016","25.455509185791016","","","","34.30388641357422","34.30388641357422","34.30388641357422","","","","40.85206604003906","40.85206604003906","40.85206604003906","","",""
"15","","","","51.59426498413086","51.59426498413086","51.59426498413086","","","","50.595176696777344","50.595176696777344","50.595176696777344","","","","40.67829513549805","40.67829513549805","40.67829513549805"
"18","30.288137435913086","30.288137435913086","30.288137435913086","","","","24.73800277709961","24.73800277709961","24.73800277709961","","","","30.03491973876953","30.03491973876953","30.03491973876953","","",""
"20","","","","49.90093231201172","49.90093231201172","49.90093231201172","","","","48.34773254394531","48.34773254394531","48.34773254394531","","","","39.036720275878906","39.036720275878906","39.036720275878906"
"23","28.687477111816406","28.687477111816406","28.687477111816406","","","","25.298828125","25.298828125","25.298828125","","","","32.81787872314453","32.81787872314453","32.81787872314453","","",""
"25","","","","49.317832946777344","49.317832946777344","49.317832946777344","","","","46.55377197265625","46.55377197265625","46.55377197265625","","","","37.873619079589844","37.873619079589844","37.873619079589844"
"28","29.110490798950195","29.110490798950195","29.110490798950195","","","","27.92136573791504","27.92136573791504","27.92136573791504","","","","31.49786376953125","31.49786376953125","31.49786376953125","","",""
"30","","","","47.27356719970703","47.27356719970703","47.27356719970703","","","","45.53374481201172","45.53374481201172","45.53374481201172","","","","36.652076721191406","36.652076721191406","36.652076721191406"
"33","27.535737991333008","27.535737991333008","27.535737991333008","","","","28.753692626953125","28.753692626953125","28.753692626953125","","","","34.53858184814453","34.53858184814453","34.53858184814453","","",""
"35","","","","46.72971725463867","46.72971725463867","46.72971725463867","","","","43.87786865234375","43.87786865234375","43.87786865234375","","","","35.89176940917969","35.89176940917969","35.89176940917969"
"38","28.880332946777344","28.880332946777344","28.880332946777344","","","","23.877349853515625","23.877349853515625","23.877349853515625","","","","45.281368255615234","45.281368255615234","45.281368255615234","","",""
"40","","","","46.37005615234375","46.37005615234375","46.37005615234375","","","","42.831668853759766","42.831668853759766","42.831668853759766","","","","35.11249542236328","35.11249542236328","35.11249542236328"
"43","26.740882873535156","26.740882873535156","26.740882873535156","","","","29.21671485900879","29.21671485900879","29.21671485900879","","","","37.5131721496582","37.5131721496582","37.5131721496582","","",""
"45","","","","45.763343811035156","45.763343811035156","45.763343811035156","","","","43.07797622680664","43.07797622680664","43.07797622680664","","","","34.86198043823242","34.86198043823242","34.86198043823242"
"48","26.875913619995117","26.875913619995117","26.875913619995117","","","","28.02381134033203","28.02381134033203","28.02381134033203","","","","33.95530700683594","33.95530700683594","33.95530700683594","","",""
"50","","","","45.43817138671875","45.43817138671875","45.43817138671875","","","","41.9915771484375","41.9915771484375","41.9915771484375","","","","34.003501892089844","34.003501892089844","34.003501892089844"
"53","27.371089935302734","27.371089935302734","27.371089935302734","","","","29.47018051147461","29.47018051147461","29.47018051147461","","","","30.59018325805664","30.59018325805664","30.59018325805664","","",""
"55","","","","45.7552375793457","45.7552375793457","45.7552375793457","","","","40.9818229675293","40.9818229675293","40.9818229675293","","","","33.8651237487793","33.8651237487793","33.8651237487793"
"58","29.15769386291504","29.15769386291504","29.15769386291504","","","","29.13887596130371","29.13887596130371","29.13887596130371","","","","32.132328033447266","32.132328033447266","32.132328033447266","","",""
"60","","","","44.562191009521484","44.562191009521484","44.562191009521484","","","","41.090179443359375","41.090179443359375","41.090179443359375","","","","32.954803466796875","32.954803466796875","32.954803466796875"
"63","25.660402297973633","25.660402297973633","25.660402297973633","","","","27.686616897583008","27.686616897583008","27.686616897583008","","","","30.712141036987305","30.712141036987305","30.712141036987305","","",""
"65","","","","44.3142204284668","44.3142204284668","44.3142204284668","","","","40.626914978027344","40.626914978027344","40.626914978027344","","","","31.9459171295166","31.9459171295166","31.9459171295166"
"68","24.331953048706055","24.331953048706055","24.331953048706055","","","","25.343461990356445","25.343461990356445","25.343461990356445","","","","25.93424415588379","25.93424415588379","25.93424415588379","","",""
"70","","","","44.457706451416016","44.457706451416016","44.457706451416016","","","","39.71294403076172","39.71294403076172","39.71294403076172","","","","31.978456497192383","31.978456497192383","31.978456497192383"
"73","27.35205078125","27.35205078125","27.35205078125","","","","26.61055564880371","26.61055564880371","26.61055564880371","","","","34.07032012939453","34.07032012939453","34.07032012939453","","",""
"75","","","","43.263423919677734","43.263423919677734","43.263423919677734","","","","39.38857650756836","39.38857650756836","39.38857650756836","","","","31.271541595458984","31.271541595458984","31.271541595458984"
"78","27.926565170288086","27.926565170288086","27.926565170288086","","","","26.050216674804688","26.050216674804688","26.050216674804688","","","","38.06260681152344","38.06260681152344","38.06260681152344","","",""
"80","","","","44.076744079589844","44.076744079589844","44.076744079589844","","","","39.23141860961914","39.23141860961914","39.23141860961914","","","","30.540220260620117","30.540220260620117","30.540220260620117"
"83","29.309391021728516","29.309391021728516","29.309391021728516","","","","26.79509735107422","26.79509735107422","26.79509735107422","","","","32.172027587890625","32.172027587890625","32.172027587890625","","",""
"85","","","","43.85850143432617","43.85850143432617","43.85850143432617","","","","38.76852035522461","38.76852035522461","38.76852035522461","","","","30.02730941772461","30.02730941772461","30.02730941772461"
"88","29.850080490112305","29.850080490112305","29.850080490112305","","","","27.298288345336914","27.298288345336914","27.298288345336914","","","","31.28815460205078","31.28815460205078","31.28815460205078","","",""
"90","","","","43.386173248291016","43.386173248291016","43.386173248291016","","","","38.087371826171875","38.087371826171875","38.087371826171875","","","","29.71758460998535","29.71758460998535","29.71758460998535"
"93","28.74322509765625","28.74322509765625","28.74322509765625","","","","29.40635871887207","29.40635871887207","29.40635871887207","","","","35.15132141113281","35.15132141113281","35.15132141113281","","",""
"95","","","","42.78956604003906","42.78956604003906","42.78956604003906","","","","38.93558883666992","38.93558883666992","38.93558883666992","","","","29.427873611450195","29.427873611450195","29.427873611450195"
"98","25.669647216796875","25.669647216796875","25.669647216796875","","","","23.719999313354492","23.719999313354492","23.719999313354492","","","","35.71394729614258","35.71394729614258","35.71394729614258","","",""
"100","","","","43.09272003173828","43.09272003173828","43.09272003173828","","","","37.81099319458008","37.81099319458008","37.81099319458008","","","","29.49315071105957","29.49315071105957","29.49315071105957"
"103","27.838607788085938","27.838607788085938","27.838607788085938","","","","25.137470245361328","25.137470245361328","25.137470245361328","","","","28.295448303222656","28.295448303222656","28.295448303222656","","",""
"105","","","","43.17219161987305","43.17219161987305","43.17219161987305","","","","38.420677185058594","38.420677185058594","38.420677185058594","","","","28.876052856445312","28.876052856445312","28.876052856445312"
"108","26.070436477661133","26.070436477661133","26.070436477661133","","","","26.335655212402344","26.335655212402344","26.335655212402344","","","","29.55255889892578","29.55255889892578","29.55255889892578","","",""
"110","","","","41.95821762084961","41.95821762084961","41.95821762084961","","","","37.775428771972656","37.775428771972656","37.775428771972656","","","","28.38666343688965","28.38666343688965","28.38666343688965"
"113","25.97710609436035","25.97710609436035","25.97710609436035","","","","32.3552131652832","32.3552131652832","32.3552131652832","","","","26.15827178955078","26.15827178955078","26.15827178955078","","",""
"115","","","","42.41813278198242","42.41813278198242","42.41813278198242","","","","37.02971649169922","37.02971649169922","37.02971649169922","","","","28.47098731994629","28.47098731994629","28.47098731994629"
"118","27.588727951049805","27.588727951049805","27.588727951049805","","","","28.097003936767578","28.097003936767578","28.097003936767578","","","","27.872209548950195","27.872209548950195","27.872209548950195","","",""
"120","","","","42.58228302001953","42.58228302001953","42.58228302001953","","","","37.983158111572266","37.983158111572266","37.983158111572266","","","","28.320051193237305","28.320051193237305","28.320051193237305"
"123","25.839698791503906","25.839698791503906","25.839698791503906","","","","27.17032814025879","27.17032814025879","27.17032814025879","","","","40.20863723754883","40.20863723754883","40.20863723754883","","",""
"125","","","","42.43068313598633","42.43068313598633","42.43068313598633","","","","37.12659454345703","37.12659454345703","37.12659454345703","","","","27.563962936401367","27.563962936401367","27.563962936401367"
"128","27.385303497314453","27.385303497314453","27.385303497314453","","","","29.61003303527832","29.61003303527832","29.61003303527832","","","","37.365692138671875","37.365692138671875","37.365692138671875","","",""
"130","","","","41.985076904296875","41.985076904296875","41.985076904296875","","","","38.298797607421875","38.298797607421875","38.298797607421875","","","","27.96839141845703","27.96839141845703","27.96839141845703"
"133","27.785442352294922","27.785442352294922","27.785442352294922","","","","22.035640716552734","22.035640716552734","22.035640716552734","","","","29.35955810546875","29.35955810546875","29.35955810546875","","",""
"135","","","","42.015594482421875","42.015594482421875","42.015594482421875","","","","37.093475341796875","37.093475341796875","37.093475341796875","","","","27.432723999023438","27.432723999023438","27.432723999023438"
"138","26.665090560913086","26.665090560913086","26.665090560913086","","","","27.070152282714844","27.070152282714844","27.070152282714844","","","","33.59197998046875","33.59197998046875","33.59197998046875","","",""
"140","","","","42.48219680786133","42.48219680786133","42.48219680786133","","","","36.87556076049805","36.87556076049805","36.87556076049805","","","","27.49476432800293","27.49476432800293","27.49476432800293"
"143","26.884737014770508","26.884737014770508","26.884737014770508","","","","24.582643508911133","24.582643508911133","24.582643508911133","","","","26.130359649658203","26.130359649658203","26.130359649658203","","",""
"145","","","","41.25567626953125","41.25567626953125","41.25567626953125","","","","37.141353607177734","37.141353607177734","37.141353607177734","","","","27.628694534301758","27.628694534301758","27.628694534301758"
"148","26.578495025634766","26.578495025634766","26.578495025634766","","","","27.694103240966797","27.694103240966797","27.694103240966797","","","","29.10015106201172","29.10015106201172","29.10015106201172","","",""
"150","","","","41.67259216308594","41.67259216308594","41.67259216308594","","","","36.64137649536133","36.64137649536133","36.64137649536133","","","","27.19335174560547","27.19335174560547","27.19335174560547"
"153","25.452957153320312","25.452957153320312","25.452957153320312","","","","29.91689109802246","29.91689109802246","29.91689109802246","","","","31.782169342041016","31.782169342041016","31.782169342041016","","",""
"155","","","","42.166160583496094","42.166160583496094","42.166160583496094","","","","35.98626708984375","35.98626708984375","35.98626708984375","","","","28.91830825805664","28.91830825805664","28.91830825805664"
"158","24.337583541870117","24.337583541870117","24.337583541870117","","","","31.04350471496582","31.04350471496582","31.04350471496582","","","","32.53598403930664","32.53598403930664","32.53598403930664","","",""
"160","","","","41.94763946533203","41.94763946533203","41.94763946533203","","","","36.25787353515625","36.25787353515625","36.25787353515625","","","","27.4237060546875","27.4237060546875","27.4237060546875"
"163","26.803186416625977","26.803186416625977","26.803186416625977","","","","30.819000244140625","30.819000244140625","30.819000244140625","","","","32.87141799926758","32.87141799926758","32.87141799926758","","",""
"165","","","","41.10483169555664","41.10483169555664","41.10483169555664","","","","36.65409469604492","36.65409469604492","36.65409469604492","","","","26.585773468017578","26.585773468017578","26.585773468017578"
