"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - mean_absolute_percentage_error","random_no2 - mean_absolute_percentage_error__MIN","random_no2 - mean_absolute_percentage_error__MAX"
"0","","","","80.65387725830078","80.65387725830078","80.65387725830078","","","","66.11588287353516","66.11588287353516","66.11588287353516","","","","69.57405090332031","69.57405090332031","69.57405090332031"
"3","31.170576095581055","31.170576095581055","31.170576095581055","","","","42.97908020019531","42.97908020019531","42.97908020019531","","","","46.71689987182617","46.71689987182617","46.71689987182617","","",""
"5","","","","59.151611328125","59.151611328125","59.151611328125","","","","47.766414642333984","47.766414642333984","47.766414642333984","","","","52.589603424072266","52.589603424072266","52.589603424072266"
"8","27.927284240722656","27.927284240722656","27.927284240722656","","","","33.805233001708984","33.805233001708984","33.805233001708984","","","","42.21836853027344","42.21836853027344","42.21836853027344","","",""
"10","","","","53.445186614990234","53.445186614990234","53.445186614990234","","","","43.553245544433594","43.553245544433594","43.553245544433594","","","","43.66237258911133","43.66237258911133","43.66237258911133"
"13","25.455509185791016","25.455509185791016","25.455509185791016","","","","36.625099182128906","36.625099182128906","36.625099182128906","","","","40.85206604003906","40.85206604003906","40.85206604003906","","",""
"15","","","","51.59426498413086","51.59426498413086","51.59426498413086","","","","41.16161346435547","41.16161346435547","41.16161346435547","","","","40.67829513549805","40.67829513549805","40.67829513549805"
"18","30.288137435913086","30.288137435913086","30.288137435913086","","","","33.291542053222656","33.291542053222656","33.291542053222656","","","","30.03491973876953","30.03491973876953","30.03491973876953","","",""
"20","","","","49.90093231201172","49.90093231201172","49.90093231201172","","","","40.608863830566406","40.608863830566406","40.608863830566406","","","","39.036720275878906","39.036720275878906","39.036720275878906"
"23","28.687477111816406","28.687477111816406","28.687477111816406","","","","35.98954772949219","35.98954772949219","35.98954772949219","","","","32.81787872314453","32.81787872314453","32.81787872314453","","",""
"25","","","","49.317832946777344","49.317832946777344","49.317832946777344","","","","38.82985305786133","38.82985305786133","38.82985305786133","","","","37.873619079589844","37.873619079589844","37.873619079589844"
"28","29.110490798950195","29.110490798950195","29.110490798950195","","","","35.499698638916016","35.499698638916016","35.499698638916016","","","","31.49786376953125","31.49786376953125","31.49786376953125","","",""
"30","","","","47.27356719970703","47.27356719970703","47.27356719970703","","","","38.470802307128906","38.470802307128906","38.470802307128906","","","","36.652076721191406","36.652076721191406","36.652076721191406"
"33","27.535737991333008","27.535737991333008","27.535737991333008","","","","30.563045501708984","30.563045501708984","30.563045501708984","","","","34.53858184814453","34.53858184814453","34.53858184814453","","",""
"35","","","","46.72971725463867","46.72971725463867","46.72971725463867","","","","37.37257385253906","37.37257385253906","37.37257385253906","","","","35.89176940917969","35.89176940917969","35.89176940917969"
"38","28.880332946777344","28.880332946777344","28.880332946777344","","","","34.36915969848633","34.36915969848633","34.36915969848633","","","","45.281368255615234","45.281368255615234","45.281368255615234","","",""
"40","","","","46.37005615234375","46.37005615234375","46.37005615234375","","","","36.852073669433594","36.852073669433594","36.852073669433594","","","","35.11249542236328","35.11249542236328","35.11249542236328"
"43","26.740882873535156","26.740882873535156","26.740882873535156","","","","30.0369873046875","30.0369873046875","30.0369873046875","","","","37.5131721496582","37.5131721496582","37.5131721496582","","",""
"45","","","","45.763343811035156","45.763343811035156","45.763343811035156","","","","36.623443603515625","36.623443603515625","36.623443603515625","","","","34.86198043823242","34.86198043823242","34.86198043823242"
"48","26.875913619995117","26.875913619995117","26.875913619995117","","","","33.3156623840332","33.3156623840332","33.3156623840332","","","","33.95530700683594","33.95530700683594","33.95530700683594","","",""
"50","","","","45.43817138671875","45.43817138671875","45.43817138671875","","","","36.1044807434082","36.1044807434082","36.1044807434082","","","","34.003501892089844","34.003501892089844","34.003501892089844"
"53","27.371089935302734","27.371089935302734","27.371089935302734","","","","31.097930908203125","31.097930908203125","31.097930908203125","","","","30.59018325805664","30.59018325805664","30.59018325805664","","",""
"55","","","","45.7552375793457","45.7552375793457","45.7552375793457","","","","35.706058502197266","35.706058502197266","35.706058502197266","","","","33.8651237487793","33.8651237487793","33.8651237487793"
"58","29.15769386291504","29.15769386291504","29.15769386291504","","","","30.289512634277344","30.289512634277344","30.289512634277344","","","","32.132328033447266","32.132328033447266","32.132328033447266","","",""
"60","","","","44.562191009521484","44.562191009521484","44.562191009521484","","","","35.418983459472656","35.418983459472656","35.418983459472656","","","","32.954803466796875","32.954803466796875","32.954803466796875"
"63","25.660402297973633","25.660402297973633","25.660402297973633","","","","33.15412139892578","33.15412139892578","33.15412139892578","","","","30.712141036987305","30.712141036987305","30.712141036987305","","",""
"65","","","","44.3142204284668","44.3142204284668","44.3142204284668","","","","35.032623291015625","35.032623291015625","35.032623291015625","","","","31.9459171295166","31.9459171295166","31.9459171295166"
"68","24.331953048706055","24.331953048706055","24.331953048706055","","","","28.626399993896484","28.626399993896484","28.626399993896484","","","","25.93424415588379","25.93424415588379","25.93424415588379","","",""
"70","","","","44.457706451416016","44.457706451416016","44.457706451416016","","","","34.70844650268555","34.70844650268555","34.70844650268555","","","","31.978456497192383","31.978456497192383","31.978456497192383"
"73","27.35205078125","27.35205078125","27.35205078125","","","","28.88581085205078","28.88581085205078","28.88581085205078","","","","34.07032012939453","34.07032012939453","34.07032012939453","","",""
"75","","","","43.263423919677734","43.263423919677734","43.263423919677734","","","","33.93602752685547","33.93602752685547","33.93602752685547","","","","31.271541595458984","31.271541595458984","31.271541595458984"
"78","27.926565170288086","27.926565170288086","27.926565170288086","","","","26.530065536499023","26.530065536499023","26.530065536499023","","","","38.06260681152344","38.06260681152344","38.06260681152344","","",""
"80","","","","44.076744079589844","44.076744079589844","44.076744079589844","","","","34.197383880615234","34.197383880615234","34.197383880615234","","","","30.540220260620117","30.540220260620117","30.540220260620117"
"83","29.309391021728516","29.309391021728516","29.309391021728516","","","","26.492712020874023","26.492712020874023","26.492712020874023","","","","32.172027587890625","32.172027587890625","32.172027587890625","","",""
"85","","","","43.85850143432617","43.85850143432617","43.85850143432617","","","","33.77363586425781","33.77363586425781","33.77363586425781","","","","30.02730941772461","30.02730941772461","30.02730941772461"
"88","29.850080490112305","29.850080490112305","29.850080490112305","","","","28.325706481933594","28.325706481933594","28.325706481933594","","","","31.28815460205078","31.28815460205078","31.28815460205078","","",""
"90","","","","43.386173248291016","43.386173248291016","43.386173248291016","","","","33.552764892578125","33.552764892578125","33.552764892578125","","","","29.71758460998535","29.71758460998535","29.71758460998535"
"93","28.74322509765625","28.74322509765625","28.74322509765625","","","","31.09615707397461","31.09615707397461","31.09615707397461","","","","35.15132141113281","35.15132141113281","35.15132141113281","","",""
"95","","","","42.78956604003906","42.78956604003906","42.78956604003906","","","","33.27684020996094","33.27684020996094","33.27684020996094","","","","29.427873611450195","29.427873611450195","29.427873611450195"
"98","25.669647216796875","25.669647216796875","25.669647216796875","","","","27.223955154418945","27.223955154418945","27.223955154418945","","","","35.71394729614258","35.71394729614258","35.71394729614258","","",""
"100","","","","43.09272003173828","43.09272003173828","43.09272003173828","","","","33.34903335571289","33.34903335571289","33.34903335571289","","","","29.49315071105957","29.49315071105957","29.49315071105957"
"103","27.838607788085938","27.838607788085938","27.838607788085938","","","","29.378774642944336","29.378774642944336","29.378774642944336","","","","28.295448303222656","28.295448303222656","28.295448303222656","","",""
"105","","","","43.17219161987305","43.17219161987305","43.17219161987305","","","","32.90814208984375","32.90814208984375","32.90814208984375","","","","28.876052856445312","28.876052856445312","28.876052856445312"
"108","26.070436477661133","26.070436477661133","26.070436477661133","","","","29.05284309387207","29.05284309387207","29.05284309387207","","","","29.55255889892578","29.55255889892578","29.55255889892578","","",""
"110","","","","41.95821762084961","41.95821762084961","41.95821762084961","","","","32.48295974731445","32.48295974731445","32.48295974731445","","","","28.38666343688965","28.38666343688965","28.38666343688965"
"113","25.97710609436035","25.97710609436035","25.97710609436035","","","","28.477882385253906","28.477882385253906","28.477882385253906","","","","26.15827178955078","26.15827178955078","26.15827178955078","","",""
"115","","","","42.41813278198242","42.41813278198242","42.41813278198242","","","","32.79190444946289","32.79190444946289","32.79190444946289","","","","28.47098731994629","28.47098731994629","28.47098731994629"
"118","27.588727951049805","27.588727951049805","27.588727951049805","","","","30.45718002319336","30.45718002319336","30.45718002319336","","","","27.872209548950195","27.872209548950195","27.872209548950195","","",""
"120","","","","42.58228302001953","42.58228302001953","42.58228302001953","","","","32.601253509521484","32.601253509521484","32.601253509521484","","","","28.320051193237305","28.320051193237305","28.320051193237305"
"123","25.839698791503906","25.839698791503906","25.839698791503906","","","","29.864519119262695","29.864519119262695","29.864519119262695","","","","40.20863723754883","40.20863723754883","40.20863723754883","","",""
"125","","","","42.43068313598633","42.43068313598633","42.43068313598633","","","","32.05476760864258","32.05476760864258","32.05476760864258","","","","27.563962936401367","27.563962936401367","27.563962936401367"
"128","27.385303497314453","27.385303497314453","27.385303497314453","","","","28.36385726928711","28.36385726928711","28.36385726928711","","","","37.365692138671875","37.365692138671875","37.365692138671875","","",""
"130","","","","41.985076904296875","41.985076904296875","41.985076904296875","","","","32.20112228393555","32.20112228393555","32.20112228393555","","","","27.96839141845703","27.96839141845703","27.96839141845703"
"133","27.785442352294922","27.785442352294922","27.785442352294922","","","","29.451215744018555","29.451215744018555","29.451215744018555","","","","29.35955810546875","29.35955810546875","29.35955810546875","","",""
"135","","","","42.015594482421875","42.015594482421875","42.015594482421875","","","","32.0704460144043","32.0704460144043","32.0704460144043","","","","27.432723999023438","27.432723999023438","27.432723999023438"
"138","26.665090560913086","26.665090560913086","26.665090560913086","","","","30.432905197143555","30.432905197143555","30.432905197143555","","","","33.59197998046875","33.59197998046875","33.59197998046875","","",""
"140","","","","42.48219680786133","42.48219680786133","42.48219680786133","","","","31.80668067932129","31.80668067932129","31.80668067932129","","","","27.49476432800293","27.49476432800293","27.49476432800293"
"143","26.884737014770508","26.884737014770508","26.884737014770508","","","","32.774959564208984","32.774959564208984","32.774959564208984","","","","26.130359649658203","26.130359649658203","26.130359649658203","","",""
"145","","","","41.25567626953125","41.25567626953125","41.25567626953125","","","","31.50258445739746","31.50258445739746","31.50258445739746","","","","27.628694534301758","27.628694534301758","27.628694534301758"
"148","26.578495025634766","26.578495025634766","26.578495025634766","","","","30.186410903930664","30.186410903930664","30.186410903930664","","","","29.10015106201172","29.10015106201172","29.10015106201172","","",""
"150","","","","41.67259216308594","41.67259216308594","41.67259216308594","","","","31.29063606262207","31.29063606262207","31.29063606262207","","","","27.19335174560547","27.19335174560547","27.19335174560547"
"153","25.452957153320312","25.452957153320312","25.452957153320312","","","","29.400753021240234","29.400753021240234","29.400753021240234","","","","31.782169342041016","31.782169342041016","31.782169342041016","","",""
"155","","","","42.166160583496094","42.166160583496094","42.166160583496094","","","","31.652694702148438","31.652694702148438","31.652694702148438","","","","28.91830825805664","28.91830825805664","28.91830825805664"
"158","24.337583541870117","24.337583541870117","24.337583541870117","","","","28.029296875","28.029296875","28.029296875","","","","32.53598403930664","32.53598403930664","32.53598403930664","","",""
