"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - val_mean_absolute_percentage_error","random_None - val_mean_absolute_percentage_error__MIN","random_None - val_mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - val_mean_absolute_percentage_error","random_seg - val_mean_absolute_percentage_error__MIN","random_seg - val_mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - val_mean_absolute_percentage_error","random_no2 - val_mean_absolute_percentage_error__MIN","random_no2 - val_mean_absolute_percentage_error__MAX"
"0","","","","59.6920166015625","59.6920166015625","59.6920166015625","","","","37.02655792236328","37.02655792236328","37.02655792236328","","","","39.23514175415039","39.23514175415039","39.23514175415039"
"3","31.170576095581055","31.170576095581055","31.170576095581055","","","","42.97908020019531","42.97908020019531","42.97908020019531","","","","46.71689987182617","46.71689987182617","46.71689987182617","","",""
"5","","","","52.05805206298828","52.05805206298828","52.05805206298828","","","","41.748619079589844","41.748619079589844","41.748619079589844","","","","39.021419525146484","39.021419525146484","39.021419525146484"
"8","27.927284240722656","27.927284240722656","27.927284240722656","","","","33.805233001708984","33.805233001708984","33.805233001708984","","","","42.21836853027344","42.21836853027344","42.21836853027344","","",""
"10","","","","40.580379486083984","40.580379486083984","40.580379486083984","","","","40.01423645019531","40.01423645019531","40.01423645019531","","","","39.495582580566406","39.495582580566406","39.495582580566406"
"13","25.455509185791016","25.455509185791016","25.455509185791016","","","","36.625099182128906","36.625099182128906","36.625099182128906","","","","40.85206604003906","40.85206604003906","40.85206604003906","","",""
"15","","","","51.92680358886719","51.92680358886719","51.92680358886719","","","","38.80498504638672","38.80498504638672","38.80498504638672","","","","35.919898986816406","35.919898986816406","35.919898986816406"
"18","30.288137435913086","30.288137435913086","30.288137435913086","","","","33.291542053222656","33.291542053222656","33.291542053222656","","","","30.03491973876953","30.03491973876953","30.03491973876953","","",""
"20","","","","50.67256164550781","50.67256164550781","50.67256164550781","","","","44.39640808105469","44.39640808105469","44.39640808105469","","","","37.11023712158203","37.11023712158203","37.11023712158203"
"23","28.687477111816406","28.687477111816406","28.687477111816406","","","","35.98954772949219","35.98954772949219","35.98954772949219","","","","32.81787872314453","32.81787872314453","32.81787872314453","","",""
"25","","","","48.521446228027344","48.521446228027344","48.521446228027344","","","","39.3784294128418","39.3784294128418","39.3784294128418","","","","36.18986511230469","36.18986511230469","36.18986511230469"
"28","29.110490798950195","29.110490798950195","29.110490798950195","","","","35.499698638916016","35.499698638916016","35.499698638916016","","","","31.49786376953125","31.49786376953125","31.49786376953125","","",""
"30","","","","42.822818756103516","42.822818756103516","42.822818756103516","","","","37.71043395996094","37.71043395996094","37.71043395996094","","","","38.312198638916016","38.312198638916016","38.312198638916016"
"33","27.535737991333008","27.535737991333008","27.535737991333008","","","","30.563045501708984","30.563045501708984","30.563045501708984","","","","34.53858184814453","34.53858184814453","34.53858184814453","","",""
"35","","","","48.01060485839844","48.01060485839844","48.01060485839844","","","","43.35420227050781","43.35420227050781","43.35420227050781","","","","42.12617492675781","42.12617492675781","42.12617492675781"
"38","28.880332946777344","28.880332946777344","28.880332946777344","","","","34.36915969848633","34.36915969848633","34.36915969848633","","","","45.281368255615234","45.281368255615234","45.281368255615234","","",""
"40","","","","39.40750503540039","39.40750503540039","39.40750503540039","","","","39.534088134765625","39.534088134765625","39.534088134765625","","","","36.247581481933594","36.247581481933594","36.247581481933594"
"43","26.740882873535156","26.740882873535156","26.740882873535156","","","","30.0369873046875","30.0369873046875","30.0369873046875","","","","37.5131721496582","37.5131721496582","37.5131721496582","","",""
"45","","","","47.478721618652344","47.478721618652344","47.478721618652344","","","","45.3238639831543","45.3238639831543","45.3238639831543","","","","40.88914489746094","40.88914489746094","40.88914489746094"
"48","26.875913619995117","26.875913619995117","26.875913619995117","","","","33.3156623840332","33.3156623840332","33.3156623840332","","","","33.95530700683594","33.95530700683594","33.95530700683594","","",""
"50","","","","41.274234771728516","41.274234771728516","41.274234771728516","","","","36.67326736450195","36.67326736450195","36.67326736450195","","","","32.059452056884766","32.059452056884766","32.059452056884766"
"53","27.371089935302734","27.371089935302734","27.371089935302734","","","","31.097930908203125","31.097930908203125","31.097930908203125","","","","30.59018325805664","30.59018325805664","30.59018325805664","","",""
"55","","","","38.50711441040039","38.50711441040039","38.50711441040039","","","","35.86091995239258","35.86091995239258","35.86091995239258","","","","34.85847473144531","34.85847473144531","34.85847473144531"
"58","29.15769386291504","29.15769386291504","29.15769386291504","","","","30.289512634277344","30.289512634277344","30.289512634277344","","","","32.132328033447266","32.132328033447266","32.132328033447266","","",""
"60","","","","39.49998474121094","39.49998474121094","39.49998474121094","","","","41.12576675415039","41.12576675415039","41.12576675415039","","","","36.4881706237793","36.4881706237793","36.4881706237793"
"63","25.660402297973633","25.660402297973633","25.660402297973633","","","","33.15412139892578","33.15412139892578","33.15412139892578","","","","30.712141036987305","30.712141036987305","30.712141036987305","","",""
"65","","","","43.33919906616211","43.33919906616211","43.33919906616211","","","","34.85746765136719","34.85746765136719","34.85746765136719","","","","32.51095199584961","32.51095199584961","32.51095199584961"
"68","24.331953048706055","24.331953048706055","24.331953048706055","","","","28.626399993896484","28.626399993896484","28.626399993896484","","","","25.93424415588379","25.93424415588379","25.93424415588379","","",""
"70","","","","41.54397964477539","41.54397964477539","41.54397964477539","","","","37.63554382324219","37.63554382324219","37.63554382324219","","","","34.52602767944336","34.52602767944336","34.52602767944336"
"73","27.35205078125","27.35205078125","27.35205078125","","","","28.88581085205078","28.88581085205078","28.88581085205078","","","","34.07032012939453","34.07032012939453","34.07032012939453","","",""
"75","","","","32.66703796386719","32.66703796386719","32.66703796386719","","","","34.717105865478516","34.717105865478516","34.717105865478516","","","","36.52169418334961","36.52169418334961","36.52169418334961"
"78","27.926565170288086","27.926565170288086","27.926565170288086","","","","26.530065536499023","26.530065536499023","26.530065536499023","","","","38.06260681152344","38.06260681152344","38.06260681152344","","",""
"80","","","","37.99836349487305","37.99836349487305","37.99836349487305","","","","35.31763458251953","35.31763458251953","35.31763458251953","","","","28.830923080444336","28.830923080444336","28.830923080444336"
"83","29.309391021728516","29.309391021728516","29.309391021728516","","","","26.492712020874023","26.492712020874023","26.492712020874023","","","","32.172027587890625","32.172027587890625","32.172027587890625","","",""
"85","","","","44.787105560302734","44.787105560302734","44.787105560302734","","","","35.942684173583984","35.942684173583984","35.942684173583984","","","","30.65936279296875","30.65936279296875","30.65936279296875"
"88","29.850080490112305","29.850080490112305","29.850080490112305","","","","28.325706481933594","28.325706481933594","28.325706481933594","","","","31.28815460205078","31.28815460205078","31.28815460205078","","",""
"90","","","","36.70193099975586","36.70193099975586","36.70193099975586","","","","35.29397201538086","35.29397201538086","35.29397201538086","","","","35.693424224853516","35.693424224853516","35.693424224853516"
"93","28.74322509765625","28.74322509765625","28.74322509765625","","","","31.09615707397461","31.09615707397461","31.09615707397461","","","","35.15132141113281","35.15132141113281","35.15132141113281","","",""
"95","","","","48.62032699584961","48.62032699584961","48.62032699584961","","","","36.99076843261719","36.99076843261719","36.99076843261719","","","","33.78450012207031","33.78450012207031","33.78450012207031"
"98","25.669647216796875","25.669647216796875","25.669647216796875","","","","27.223955154418945","27.223955154418945","27.223955154418945","","","","35.71394729614258","35.71394729614258","35.71394729614258","","",""
"100","","","","38.0624885559082","38.0624885559082","38.0624885559082","","","","36.98503875732422","36.98503875732422","36.98503875732422","","","","33.72431564331055","33.72431564331055","33.72431564331055"
"103","27.838607788085938","27.838607788085938","27.838607788085938","","","","29.378774642944336","29.378774642944336","29.378774642944336","","","","28.295448303222656","28.295448303222656","28.295448303222656","","",""
"105","","","","39.43572235107422","39.43572235107422","39.43572235107422","","","","36.20060729980469","36.20060729980469","36.20060729980469","","","","30.870866775512695","30.870866775512695","30.870866775512695"
"108","26.070436477661133","26.070436477661133","26.070436477661133","","","","29.05284309387207","29.05284309387207","29.05284309387207","","","","29.55255889892578","29.55255889892578","29.55255889892578","","",""
"110","","","","33.9890251159668","33.9890251159668","33.9890251159668","","","","35.86988830566406","35.86988830566406","35.86988830566406","","","","31.921491622924805","31.921491622924805","31.921491622924805"
"113","25.97710609436035","25.97710609436035","25.97710609436035","","","","28.477882385253906","28.477882385253906","28.477882385253906","","","","26.15827178955078","26.15827178955078","26.15827178955078","","",""
"115","","","","50.25578689575195","50.25578689575195","50.25578689575195","","","","36.879173278808594","36.879173278808594","36.879173278808594","","","","34.546043395996094","34.546043395996094","34.546043395996094"
"118","27.588727951049805","27.588727951049805","27.588727951049805","","","","30.45718002319336","30.45718002319336","30.45718002319336","","","","27.872209548950195","27.872209548950195","27.872209548950195","","",""
"120","","","","40.27269744873047","40.27269744873047","40.27269744873047","","","","34.35060119628906","34.35060119628906","34.35060119628906","","","","40.25624084472656","40.25624084472656","40.25624084472656"
"123","25.839698791503906","25.839698791503906","25.839698791503906","","","","29.864519119262695","29.864519119262695","29.864519119262695","","","","40.20863723754883","40.20863723754883","40.20863723754883","","",""
"125","","","","39.19215393066406","39.19215393066406","39.19215393066406","","","","39.73691940307617","39.73691940307617","39.73691940307617","","","","32.20029830932617","32.20029830932617","32.20029830932617"
"128","27.385303497314453","27.385303497314453","27.385303497314453","","","","28.36385726928711","28.36385726928711","28.36385726928711","","","","37.365692138671875","37.365692138671875","37.365692138671875","","",""
"130","","","","37.40315246582031","37.40315246582031","37.40315246582031","","","","34.83863830566406","34.83863830566406","34.83863830566406","","","","31.026432037353516","31.026432037353516","31.026432037353516"
"133","27.785442352294922","27.785442352294922","27.785442352294922","","","","29.451215744018555","29.451215744018555","29.451215744018555","","","","29.35955810546875","29.35955810546875","29.35955810546875","","",""
"135","","","","38.497013092041016","38.497013092041016","38.497013092041016","","","","37.67205810546875","37.67205810546875","37.67205810546875","","","","29.68885612487793","29.68885612487793","29.68885612487793"
"138","26.665090560913086","26.665090560913086","26.665090560913086","","","","30.432905197143555","30.432905197143555","30.432905197143555","","","","33.59197998046875","33.59197998046875","33.59197998046875","","",""
"140","","","","35.40473937988281","35.40473937988281","35.40473937988281","","","","37.444820404052734","37.444820404052734","37.444820404052734","","","","29.74590301513672","29.74590301513672","29.74590301513672"
"143","26.884737014770508","26.884737014770508","26.884737014770508","","","","32.774959564208984","32.774959564208984","32.774959564208984","","","","26.130359649658203","26.130359649658203","26.130359649658203","","",""
"145","","","","42.267669677734375","42.267669677734375","42.267669677734375","","","","35.30929946899414","35.30929946899414","35.30929946899414","","","","27.984872817993164","27.984872817993164","27.984872817993164"
"148","26.578495025634766","26.578495025634766","26.578495025634766","","","","30.186410903930664","30.186410903930664","30.186410903930664","","","","29.10015106201172","29.10015106201172","29.10015106201172","","",""
"150","","","","38.87102127075195","38.87102127075195","38.87102127075195","","","","36.28248596191406","36.28248596191406","36.28248596191406","","","","27.59038734436035","27.59038734436035","27.59038734436035"
